,contribution_receipt_amount,contributor_zip,party
459,100.0,44140,REP
460,100.0,94526,REP
461,1000.0,78132,REP
462,1000.0,48843,REP
463,100.0,55427,REP
464,36.0,2906,REP
465,20.0,81001,REP
466,-490.0,33181,DEM
467,-60.0,2472,DEM
468,-60.0,2472,DEM
469,-100.0,11222,DEM
470,-25.0,84043,DEM
471,-250.0,7030,DEM
472,-1000.0,78132,REP
473,-1000.0,48843,REP
474,10.0,45215,DEM
475,50.0,98030,DEM
476,50.0,60630,DEM
477,25.0,8823,DEM
478,50.0,2043,DEM
479,250.0,94618,DEM
480,50.0,10471,DEM
481,250.0,85281,DEM
482,10.0,46534,DEM
483,500.0,55401,DEM
484,25.0,81501,DEM
485,10.0,55932,DEM
486,250.0,7481,DEM
487,50.0,80206,DEM
488,50.0,80206,DEM
489,50.0,94102,DEM
490,50.0,80129,DEM
491,100.0,20878,DEM
492,1300.0,20189,DEM
493,500.0,2129,DEM
494,20.0,11050,DEM
495,10.0,33026,DEM
496,250.0,75061,DEM
497,125.0,90035,DEM
498,100.0,13212,DEM
499,15.0,95525,GRE
500,25.0,14450,REP
501,500.0,32256,REP
502,40.0,16125,REP
503,250.0,98104,REP
504,200.0,94018,REP
505,100.0,34231,REP
506,100.0,84003,REP
507,2300.0,75225,REP
508,10.0,48030,REP
509,250.0,1095,REP
510,35.0,54891,REP
511,50.0,97914,REP
512,200.0,95037,REP
513,50.0,33777,REP
514,170.0,48111,REP
515,2500.0,34228,REP
516,200.0,2482,REP
517,100.0,97302,REP
518,5.0,30512,REP
519,1.0,98532,REP
520,100.0,2668,REP
521,100.0,85716,REP
522,100.0,12077,REP
523,250.0,33175,REP
524,-500.0,66045,DEM
525,-500.0,32256,REP
526,-250.0,98104,REP
527,-2300.0,75225,REP
528,-250.0,1095,REP
529,-170.0,48111,REP
530,-2500.0,34228,REP
531,-250.0,33175,REP
532,2300.0,19041,DEM
533,2300.0,19041,DEM
534,250.0,2062,DEM
535,300.0,75228,DEM
536,20.0,46202,DEM
537,50.0,7042,DEM
538,50.0,46113,DEM
539,250.0,11225,DEM
540,15.0,95124,DEM
541,20.0,91304,DEM
542,250.0,60542,DEM
543,10.0,11003,DEM
544,250.0,94597,DEM
545,100.0,20012,DEM
546,15.0,10308,DEM
547,50.0,20191,DEM
548,100.0,29928,DEM
549,200.0,11105,DEM
550,15.0,78028,DEM
551,25.0,70122,DEM
552,100.0,19382,DEM
553,2300.0,10025,DEM
554,500.0,98112,DEM
555,20.0,33823,DEM
556,250.0,32503,DEM
557,150.0,98077,DEM
558,50.0,94553,DEM
559,25.0,56601,DEM
560,2300.0,27101,DEM
561,20.0,90803,DEM
562,25.0,13850,DEM
563,25.0,90631,DEM
564,20.0,36608,DEM
565,25.0,90703,DEM
566,25.0,15216,DEM
567,50.0,98155,DEM
568,20.0,85381,REP
569,30.0,29474,REP
570,100.0,75214,REP
571,35.0,85737,REP
572,50.0,89509,REP
573,60.0,92647,REP
574,15.0,11793,REP
575,25.0,72088,REP
576,25.0,72088,REP
577,25.0,34229,REP
578,1000.0,33403,REP
579,25.0,85325,REP
580,1000.0,77079,REP
581,50.0,56444,REP
582,500.0,92625,REP
583,250.0,8057,REP
584,500.0,94611,REP
585,1000.0,2532,REP
586,-250.0,30316,DEM
587,-100.0,21222,DEM
588,-100.0,21222,DEM
589,-100.0,21222,DEM
590,1.36,75229,DEM
591,-25.0,84043,DEM
592,-25.0,84043,DEM
593,-30.0,84043,DEM
594,-10.0,84043,DEM
595,-25.0,84043,DEM
596,-10.0,84043,DEM
597,-10.0,84043,DEM
598,-25.0,84043,DEM
599,-100.0,75214,REP
600,75.0,90803,REP
601,-25.0,72088,REP
602,-25.0,72088,REP
603,-1000.0,33403,REP
604,100.0,39482,REP
605,-1000.0,77079,REP
606,2300.0,33109,DEM
607,100.0,58503,DEM
608,50.0,4401,DEM
609,25.0,10502,DEM
610,50.0,95927,DEM
611,50.0,27416,DEM
612,250.0,98260,DEM
613,250.0,33179,DEM
614,65.0,10705,DEM
615,500.0,38802,DEM
616,100.0,11217,DEM
617,25.0,75204,DEM
618,50.0,8873,DEM
619,25.0,27530,DEM
620,75.0,27565,DEM
621,2300.0,10025,DEM
622,100.0,96817,DEM
623,100.0,20905,DEM
624,50.0,48187,DEM
625,50.0,93725,DEM
626,50.0,94507,DEM
627,50.0,10024,DEM
628,250.0,10001,DEM
629,100.0,92626,DEM
630,50.0,71303,DEM
631,200.0,92840,DEM
632,2000.0,91502,DEM
633,50.0,22203,DEM
634,100.0,10023,DEM
635,50.0,90731,DEM
636,50.0,77084,DEM
637,50.0,21737,DEM
638,250.0,48103,DEM
639,25.0,8817,DEM
640,60.0,89107,LIB
641,100.0,7446,REP
642,30.0,70435,REP
643,500.0,45056,REP
644,200.0,2090,REP
645,500.0,15236,REP
646,15.0,48906,REP
647,25.0,95603,REP
648,20.0,91506,REP
649,100.0,48382,REP
650,25.0,23111,REP
651,50.0,92037,REP
652,500.0,37205,REP
653,50.0,91762,REP
654,100.0,89701,REP
655,15.0,84093,REP
656,31.0,92627,REP
657,25.0,28677,REP
658,50.0,98557,REP
659,100.0,93401,REP
660,25.0,971,REP
661,500.0,60045,REP
662,500.0,34102,REP
663,-500.0,98502,DEM
664,-30.0,60647,DEM
665,-500.0,45056,REP
666,-200.0,2090,REP
667,-500.0,15236,REP
668,-500.0,37205,REP
669,-50.0,98557,REP
670,2300.0,10021,DEM
671,2300.0,10024,DEM
672,2300.0,10021,DEM
673,2300.0,10016,DEM
674,2300.0,10016,DEM
675,2300.0,10024,DEM
676,2300.0,10128,DEM
